pres_pure,pres_alt,height
164866.0000,-4034.3560,0.0000
164866.0000,-4034.3560,0.0000
164866.0000,-4034.3560,0.0000
164866.0000,-4034.3560,0.0000
164866.0000,-4034.3560,0.0000
164866.0000,-4034.3560,0.0000
164866.0000,-4034.3560,0.0000
164866.0000,-4034.3560,0.0000
164866.0000,-4034.3560,0.0000
164866.0000,-4034.3560,0.0000
164866.0000,-4034.3560,0.0000
164866.0000,-4034.3560,0.0000
164866.0000,-4034.3560,0.0000
164866.0000,-4034.3560,0.0000
164866.0000,-4034.3560,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
100121.0000,344.8194,0.0000
